id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
A04,Milieu agricole,1,Faucon crécerelle,90,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20cr%C3%A9cerelle.wav?alt=media&token=63046804-e4d9-40c6-ae17-d26fed5d35a4,,90
A04,Milieu agricole,2,Busard cendré,38,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20cendr%C3%A9.mp3?alt=media&token=1f08e1a3-f864-47a4-adcc-0f5c37ead482,,38
A04,Milieu agricole,3,Martinet noir,162,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartinet%20noir.wav?alt=media&token=a4bfcaf3-13f2-4712-b015-e6d1fa497fc1,,162
A04,Milieu agricole,4,Alouette des champs,7,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20des%20champs.wav?alt=media&token=9348f678-d6d1-48a5-8de8-9bbacfdc9472,,7
A04,Milieu agricole,5,Alouette lulu,259,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20lulu.mp3?alt=media&token=4f12dd63-1fc0-4ee7-8fb2-b5d2c69ce025,,259
A04,Milieu agricole,6,Milan noir,172,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20noir%20BIS.wav?alt=media&token=62ba62ed-757c-4e31-8b2a-a8617f1818c8,,172
A04,Milieu agricole,7,Milan royal,173,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20royal.mp3?alt=media&token=4d0bd781-bdc6-4910-9fa9-97fd7830bcfa,,173
A04,Milieu agricole,8,Bondrée apivore,29,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBondr%C3%A9e%20apivore.mp3?alt=media&token=fffdf1ac-aa69-4b51-a785-30a2e94e4636,,29
A04,Milieu agricole,9,Hirondelle rustique,145,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20rustique.mp3?alt=media&token=a65ca3e4-c9ea-4e09-b496-70aec2bfdf3e,,145
A04,Milieu agricole,10,Busard Saint-Martin,40,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBusard%20Saint-Martin.mp3?alt=media&token=70093d4e-bcd5-4661-ace9-eae39d4c38c7,,40
A04,Milieu agricole,11,Coucou gris,73,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20gris.mp3?alt=media&token=cdadd005-4b86-40ca-887a-5098c411f07c,,73
A04,Milieu agricole,12,Traquet oreillard,255,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTraquet%20oreillard.wav?alt=media&token=cd8bea64-8edc-46f3-8c6f-b2769f32f5c2,,255
A04,Milieu agricole,13,Élanion blanc,84,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89lanion%20blanc.mp3?alt=media&token=64c86c8f-ac5c-40a5-a8c3-afd16f6ce99d,,84
A04,Milieu agricole,14,Guêpier d'Europe,129,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGu%C3%AApier%20d'Europe.mp3?alt=media&token=560f3e60-68d2-4959-a030-5a43969e4bf5,,129
A04,Milieu agricole,15,Pipit des arbres,207,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20des%20arbres.wav?alt=media&token=d7de3bf0-e906-4195-8241-f304fcaada7e,,207
,,,,,,Faucon crécerelle,
,,,,,,"Busard cendré
",
,,,,,,Martinet noir,
,,,,,,Alouette des champs,
,,,,,,Alouette lulu,
,,,,,,Milan noir,
,,,,,,Milan royal,
,,,,,,Bondrée apivore,
,,,,,,Hirondelle rustique,
,,,,,,Busard Saint-Martin,
,,,,,,Coucou gris,
,,,,,,Traquet oreillard,
,,,,,,Élanion blanc,
,,,,,,Guêpier d'Europe,
,,,,,,Pipit des arbres,
,,,,,,Busard des roseaux,
,,,,,,Alouette calandre,
,,,,,,Alouette calandrelle,
,,,,,,Alouette hausse-col,
,,,,,,Œdicnème criard,
,,,,,,Accenteur mouchet,
,,,,,,Bécassine des marais,
,,,,,,Bernache à cou roux,
,,,,,,Bouscarle de Cetti,
,,,,,,Buse variable,
,,,,,,Chevêche d'Athéna,
,,,,,,Choucas des tours,
,,,,,,Chouette hulotte,
,,,,,,Cochevis huppé,
,,,,,,Corbeau freux,
