id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
A01,Milieu agricole,1,Alouette des champs,7,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20des%20champs.wav?alt=media&token=9348f678-d6d1-48a5-8de8-9bbacfdc9472,Élanion blanc,7
A01,Milieu agricole,2,Bruant proyer,37,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20proyer.wav?alt=media&token=ba901c4d-14f8-46c7-a3b0-594e175382fa,Outarde canepetière,37
A01,Milieu agricole,3,Caille des blés,43,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCaille%20des%20bl%C3%A9s.mp3?alt=media&token=71765284-be87-43f3-858d-0d577d40b280,Vanneau huppé,43
A01,Milieu agricole,4,Bruant jaune,34,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20jaune.wav?alt=media&token=7a3d5d64-667c-4774-a1c7-5befc4805504,Buse variable,34
A01,Milieu agricole,5,Alouette lulu,259,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20lulu.mp3?alt=media&token=4f12dd63-1fc0-4ee7-8fb2-b5d2c69ce025,Faucon crécerelle,
A01,Milieu agricole,6,Tarier des prés,247,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTarier%20des%20pr%C3%A9s.wav?alt=media&token=33ed71e3-6bc8-4287-bb54-21804b781638,Faisan de Colchide,247
A01,Milieu agricole,7,Bruant ortolan,36,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20ortolan.mp3?alt=media&token=aa52f67d-7239-4476-8ad4-1fd6a71d72aa,Cochevis huppé,36
A01,Milieu agricole,8,Bergeronnette printanière,22,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20printani%C3%A8re.wav?alt=media&token=a0c05047-2e2a-46a1-9de4-6adb5b53b193,Fauvette pitchou,22
A01,Milieu agricole,9,Vanneau huppé,257,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FVanneau%20hupp%C3%A9.mp3?alt=media&token=c9a91d46-9178-4e7a-b2e9-edcd2cfdf575,Huppe fasciée,
A01,Milieu agricole,10,Pipit farlouse,208,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20farlouse.wav?alt=media&token=1daf2924-a10c-43c8-ade5-8fc0482bddaa,Ouette d'Égypte,208
,,,Outarde canepetière,267,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOutarde%20canepeti%C3%A8re.mp3?alt=media&token=7ec2b7eb-7841-4a2a-87fe-d83a46229d3c,Moineau friquet,
,,,Alouette hausse-col,8,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20hausse-col.wav?alt=media&token=80e0d8a2-63b1-4fad-9eb9-58321264889a,Guêpier d'Europe,8
,,,Bruant fou,266,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20fou.mp3?alt=media&token=32cdae1a-220c-4dbb-8659-88a66e9aac3f,Chardonneret élégant,
,,,Alouette calandre,5,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandre.wav?alt=media&token=7ac6bb8a-7968-4223-a21e-7154d8cbd490,Engoulevent d'Europe,5
,,,Alouette calandrelle,6,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandrelle.wav?alt=media&token=9ce99208-a543-48f8-9412-d2f142abf0ee,Rollier d'Europe,6
,,,,,,Oie rieuse,
,,,,,,Perdrix grise,
,,,,,,Pluvier argenté,
,,,,,,Corneille mantelée,
,,,,,,Fauvette babillarde,
,,,,,,Hypolaïs polyglotte,
,,,,,,Grive draine,
,,,,,,Outarde canepetière,
,,,,,,Busard cendré,
,,,,,,Colin de Virginie,
,,,,,,Vanneau huppé,
,,,,,,Pie-grièche écorcheur,
,,,,,,Crave à bec rouge,
,,,,,,Pigeon biset,
